Sport,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total
Swimming,14,8,11,33
Athletics,7,4,5,16
Wrestling,2,2,3,7
Tennis,2,0,1,3
Basketball,2,0,0,2
Sailing,1,2,1,4
Cycling,1,1,0,2
Equestrian,1,0,2,3
Shooting,1,0,2,3
Weightlifting,1,0,1,2
Baseball,1,0,0,1
Diving,1,0,0,1
Softball,1,0,0,1
Taekwondo,1,0,0,1
Volleyball,1,0,0,1
Boxing,0,2,2,4
Modern pentathlon,0,1,0,1
Soccer,0,1,0,1
Water polo,0,1,0,1
Rowing,0,1,2,3
Archery,0,1,1,2
Gymnastics,0,0,1,1
Total,37,24,32,93
